"中文","繁體中文（香港）","繁體中文（台灣）","English","Bahasa Indonesia","Bahasa Melayu","Español","한국어","Italiano","日本語","Português","Русский","ภาษาไทย","Tiếng Việt","العربية","Türkçe","Deutsch","Français"
"本次拍摄需要获得的照片数量。","本次拍攝需要獲得的相片數量。","本次拍攝需要取得的照片數量。","Number of photos needed for this shoot.","Jumlah foto yang dibutuhkan untuk pemotretan ini.","Bilangan foto diperlukan untuk rakaman ini.","Número de fotos necesarias para esta captura.","이번 촬영에 필요한 사진 수입니다.","Numero di foto necessarie per questa ripresa.","今回の撮影で必要な写真枚数。","Número de fotos necessárias para esta captura.","Количество фотографий для этой съемки.","จำนวนภาพที่ต้องได้ในการถ่ายครั้งนี้","Số ảnh cần có cho lần chụp này.","عدد الصور المطلوبة لهذا التصوير.","Bu çekim için gereken fotoğraf sayısı.","Anzahl der für diese Aufnahme benötigten Fotos.","Nombre de photos nécessaires pour cette prise."
"结果与提醒","結果與提醒","結果與提醒","Results and reminders","Hasil dan pengingat","Hasil dan peringatan","Resultados y recordatorios","결과 및 알림","Risultati e promemoria","結果とリマインダー","Resultados e lembretes","Результаты и напоминания","ผลลัพธ์และคำเตือน","Kết quả và nhắc nhở","النتائج والتذكيرات","Sonuçlar ve hatırlatmalar","Ergebnisse und Hinweise","Résultats et rappels"
"“自动”标签表示该字段由系统计算得出，不是手动输入。","「自動」標籤表示該欄位由系統計算得出，不是手動輸入。","「自動」標籤表示該欄位由系統計算得出，不是手動輸入。","The Auto tag means the field was calculated by the system, not entered manually.","Label Otomatis berarti bidang dihitung sistem, bukan dimasukkan manual.","Label Automatik bermaksud medan dikira sistem, bukan dimasukkan manual.","La etiqueta Automático indica que el campo fue calculado, no ingresado manualmente.","자동 태그는 해당 필드가 직접 입력이 아니라 시스템 계산값임을 뜻합니다.","L'etichetta Automatico indica un campo calcolato dal sistema, non inserito manualmente.","自動タグは、その項目が手入力ではなくシステム計算であることを示します。","A tag Automático indica que o campo foi calculado pelo sistema, não digitado.","Метка Авто означает, что поле рассчитано системой, а не введено вручную.","ป้ายอัตโนมัติหมายถึงช่องนี้คำนวณโดยระบบ ไม่ได้ป้อนเอง","Nhãn Tự động nghĩa là trường do hệ thống tính, không phải nhập thủ công.","تعني علامة تلقائي أن الحقل حسبه النظام وليس إدخالا يدويا.","Otomatik etiketi, alanın elle değil sistemce hesaplandığını gösterir.","Das Auto-Label bedeutet, dass das Feld vom System berechnet wurde.","Le libellé Auto indique que le champ est calculé par le système, non saisi."
"当总张数较高、间隔过短或拍摄时间较长时，会显示拍摄提醒。","當總張數較高、間隔過短或拍攝時間較長時，會顯示拍攝提醒。","當總張數較高、間隔過短或拍攝時間較長時，會顯示拍攝提醒。","Shooting reminders appear when total shots are high, intervals are short, or shooting time is long.","Pengingat muncul saat total foto tinggi, interval pendek, atau durasi lama.","Peringatan muncul apabila jumlah tangkapan tinggi, selang pendek atau tempoh lama.","Los recordatorios aparecen si hay muchas fotos, intervalos cortos o una captura larga.","총 촬영 장수가 많거나 간격이 짧거나 촬영 시간이 길면 알림이 표시됩니다.","I promemoria appaiono con molti scatti, intervalli brevi o riprese lunghe.","撮影枚数が多い、間隔が短い、撮影時間が長い場合にリマインダーを表示します。","Lembretes aparecem quando há muitas fotos, intervalos curtos ou captura longa.","Напоминания появляются при большом числе снимков, коротком интервале или долгой съемке.","จะแสดงคำเตือนเมื่อจำนวนภาพมาก ช่วงเวลาสั้น หรือถ่ายนาน","Nhắc nhở xuất hiện khi tổng ảnh cao, khoảng cách ngắn hoặc thời gian chụp dài.","تظهر التذكيرات عند كثرة اللقطات أو قصر الفواصل أو طول مدة التصوير.","Toplam çekim yüksek, aralık kısa veya çekim uzun olduğunda hatırlatmalar görünür.","Hinweise erscheinen bei vielen Aufnahmen, kurzen Intervallen oder langer Dauer.","Des rappels s'affichent si le nombre est élevé, l'intervalle court ou la durée longue."
"如果参数互相冲突，页面会提示原因，并显示“重置”按钮方便重新输入。","如果參數互相衝突，頁面會提示原因，並顯示「重置」按鈕方便重新輸入。","如果參數互相衝突，頁面會提示原因，並顯示「重設」按鈕方便重新輸入。","If parameters conflict, the page shows the reason and a Reset button for re-entry.","Jika parameter bertentangan, halaman menampilkan alasan dan tombol Atur ulang.","Jika parameter bercanggah, halaman memaparkan sebab dan butang Tetapkan semula.","Si los parámetros entran en conflicto, se muestra el motivo y un botón Restablecer.","매개변수가 충돌하면 이유와 재입력용 초기화 버튼이 표시됩니다.","Se i parametri sono in conflitto, la pagina mostra il motivo e Reimposta.","パラメータが矛盾すると理由と再入力用のリセットボタンを表示します。","Se houver conflito, a página mostra o motivo e um botão Redefinir.","При конфликте параметров страница покажет причину и кнопку сброса.","หากพารามิเตอร์ขัดแย้งกัน หน้าจะแสดงเหตุผลและปุ่มรีเซ็ตเพื่อป้อนใหม่","Nếu tham số mâu thuẫn, trang sẽ hiển thị lý do và nút Đặt lại để nhập lại.","إذا تعارضت المعلمات، تعرض الصفحة السبب وزر إعادة تعيين للإدخال مجددا.","Parametreler çakışırsa sayfa nedeni ve tekrar giriş için Sıfırla düğmesini gösterir.","Bei Konflikten zeigt die Seite den Grund und eine Zurücksetzen-Schaltfläche.","En cas de conflit, la page affiche la raison et un bouton Réinitialiser."
"复制与历史","複製與歷史","複製與歷史","Copy and history","Salin dan riwayat","Salin dan sejarah","Copiar e historial","복사 및 기록","Copia e cronologia","コピーと履歴","Copiar e histórico","Копирование и история","คัดลอกและประวัติ","Sao chép và lịch sử","النسخ والسجل","Kopyalama ve geçmiş","Kopieren und Verlauf","Copie et historique"
"计算完成后可复制完整拍摄方案，方便保存或发送给同伴。","計算完成後可複製完整拍攝方案，方便保存或發送給同伴。","計算完成後可複製完整拍攝方案，方便儲存或傳送給同伴。","After calculation, copy the full shooting plan to save or send to others.","Setelah perhitungan, salin rencana lengkap untuk disimpan atau dikirim.","Selepas pengiraan, salin pelan penuh untuk disimpan atau dihantar.","Tras calcular, copia el plan completo para guardar o enviar.","계산 후 전체 촬영 계획을 복사해 저장하거나 공유할 수 있습니다.","Dopo il calcolo, copia il piano completo per salvarlo o inviarlo.","計算後、撮影プラン全体をコピーして保存や共有ができます。","Após calcular, copie o plano completo para salvar ou enviar.","После расчета можно скопировать полный план для сохранения или отправки.","หลังคำนวณ สามารถคัดลอกแผนถ่ายทั้งหมดเพื่อบันทึกหรือส่งต่อ","Sau khi tính, có thể sao chép toàn bộ phương án để lưu hoặc gửi.","بعد الحساب، انسخ خطة التصوير الكاملة للحفظ أو الإرسال.","Hesaplamadan sonra tam çekim planını kaydedip göndermek için kopyalayın.","Nach der Berechnung kann der komplette Plan gespeichert oder gesendet werden.","Après calcul, copiez le plan complet pour l'enregistrer ou l'envoyer."
"历史记录默认折叠，展开后可回填最近 10 条方案。","歷史記錄預設折疊，展開後可回填最近 10 條方案。","歷史紀錄預設收合，展開後可回填最近 10 筆方案。","History is collapsed by default. Expand it to restore the latest 10 plans.","Riwayat diciutkan secara default. Perluas untuk memulihkan 10 rencana terbaru.","Sejarah diruntuhkan secara lalai. Kembangkan untuk memulihkan 10 pelan terkini.","El historial está contraído por defecto. Expándelo para restaurar los 10 últimos planes.","기록은 기본으로 접혀 있습니다. 펼치면 최근 10개 계획을 불러올 수 있습니다.","La cronologia è compressa per impostazione predefinita. Espandi per ripristinare gli ultimi 10 piani.","履歴は既定で折りたたまれています。展開すると最新10件のプランを復元できます。","O histórico fica recolhido por padrão. Expanda para restaurar os 10 planos recentes.","История по умолчанию свернута. Разверните, чтобы восстановить 10 последних планов.","ประวัติจะยุบไว้โดยค่าเริ่มต้น ขยายเพื่อเติม 10 แผนล่าสุด","Lịch sử mặc định thu gọn. Mở rộng để điền lại 10 phương án gần nhất.","السجل مطوي افتراضيا. وسعه لاستعادة آخر 10 خطط.","Geçmiş varsayılan olarak daraltılır. Son 10 planı geri yüklemek için genişletin.","Der Verlauf ist standardmäßig eingeklappt. Erweitern zum Wiederherstellen der letzten 10 Pläne.","L'historique est réduit par défaut. Développez-le pour restaurer les 10 derniers plans."
"历史记录保存在本机，清空后不会影响再次计算。","歷史記錄保存在本機，清空後不會影響再次計算。","歷史紀錄保存在本機，清除後不會影響再次計算。","History is stored locally. Clearing it will not affect future calculations.","Riwayat disimpan lokal. Menghapusnya tidak memengaruhi perhitungan berikutnya.","Sejarah disimpan setempat. Mengosongkannya tidak menjejaskan pengiraan akan datang.","El historial se guarda localmente. Borrarlo no afecta cálculos futuros.","기록은 로컬에 저장됩니다. 삭제해도 이후 계산에는 영향이 없습니다.","La cronologia è salvata localmente. Cancellarla non influisce sui calcoli futuri.","履歴は端末内に保存されます。消去しても今後の計算には影響しません。","O histórico é local. Limpá-lo não afeta cálculos futuros.","История хранится локально. Очистка не повлияет на будущие расчеты.","ประวัติบันทึกในเครื่อง การล้างไม่กระทบการคำนวณครั้งถัดไป","Lịch sử lưu trên máy. Xóa lịch sử không ảnh hưởng tính toán sau này.","يحفظ السجل محليا. مسحه لا يؤثر في الحسابات المستقبلية.","Geçmiş yerelde saklanır. Temizlemek sonraki hesaplamaları etkilemez.","Der Verlauf wird lokal gespeichert. Löschen beeinflusst spätere Berechnungen nicht.","L'historique est stocké localement. L'effacer n'affecte pas les calculs futurs."
"关于作者","關於作者","關於作者","About the author","Tentang pembuat","Tentang pencipta","Sobre el autor","작성자 소개","Informazioni sull'autore","作者について","Sobre o autor","Об авторе","เกี่ยวกับผู้เขียน","Giới thiệu tác giả","حول المؤلف","Yazar hakkında","Über den Autor","À propos de l'auteur"
"安全工程师","安全工程師","資安工程師","Security engineer","Insinyur keamanan","Jurutera keselamatan","Ingeniero de seguridad","보안 엔지니어","Ingegnere della sicurezza","セキュリティエンジニア","Engenheiro de segurança","Инженер по безопасности","วิศวกรความปลอดภัย","Kỹ sư bảo mật","مهندس أمن","Güvenlik mühendisi","Sicherheitsingenieur","Ingénieur sécurité"
"兼职摄影师","兼職攝影師","兼職攝影師","Part-time photographer","Fotografer paruh waktu","Jurugambar sambilan","Fotógrafo a tiempo parcial","파트타임 사진가","Fotografo part-time","副業フォトグラファー","Fotógrafo de meio período","Фотограф по совместительству","ช่างภาพพาร์ตไทม์","Nhiếp ảnh gia bán thời gian","مصور بدوام جزئي","Yarı zamanlı fotoğrafçı","Teilzeitfotograf","Photographe à temps partiel"
"互联网从业者","互聯網從業者","網路從業者","Internet industry practitioner","Praktisi industri internet","Pengamal industri internet","Profesional de internet","인터넷 업계 종사자","Professionista del settore internet","インターネット業界従事者","Profissional da internet","Специалист интернет-индустрии","ผู้ทำงานในอุตสาหกรรมอินเทอร์เน็ต","Người làm trong ngành internet","عامل في مجال الإنترنت","İnternet sektörü çalışanı","Internetbranchen-Profi","Professionnel du secteur Internet"
"喜欢探索世界","喜歡探索世界","喜歡探索世界","Enjoys exploring the world","Suka menjelajahi dunia","Suka meneroka dunia","Le gusta explorar el mundo","세상 탐험을 좋아함","Ama esplorare il mondo","世界を探索するのが好き","Gosta de explorar o mundo","Любит исследовать мир","ชอบสำรวจโลก","Thích khám phá thế giới","يحب استكشاف العالم","Dünyayı keşfetmeyi sever","Erkundet gern die Welt","Aime explorer le monde"
"热爱通过影像记录生活","熱愛透過影像記錄生活","熱愛透過影像記錄生活","Loves recording life through images","Suka merekam kehidupan lewat gambar","Suka merakam kehidupan melalui imej","Le encanta registrar la vida con imágenes","영상으로 삶을 기록하는 것을 좋아함","Ama raccontare la vita con le immagini","映像で生活を記録するのが好き","Ama registrar a vida por imagens","Любит фиксировать жизнь в кадрах","รักการบันทึกชีวิตผ่านภาพ","Yêu ghi lại cuộc sống bằng hình ảnh","يحب توثيق الحياة بالصور","Hayatı görüntülerle kaydetmeyi sever","Hält das Leben gern in Bildern fest","Aime raconter la vie par l'image"
"从不错过有趣的技术问题","從不錯過有趣的技術問題","從不錯過有趣的技術問題","Never misses an interesting technical problem","Tidak pernah melewatkan masalah teknis menarik","Tidak pernah terlepas masalah teknikal menarik","Nunca se pierde un problema técnico interesante","흥미로운 기술 문제를 놓치지 않음","Non si perde mai un problema tecnico interessante","面白い技術課題を見逃さない","Nunca perde um problema técnico interessante","Не пропускает интересные технические задачи","ไม่พลาดปัญหาเทคนิคที่น่าสนใจ","Không bỏ lỡ vấn đề kỹ thuật thú vị","لا يفوت أي مشكلة تقنية مثيرة","İlginç teknik sorunları kaçırmaz","Verpasst kein interessantes technisches Problem","Ne manque jamais un problème technique intéressant"
"能用程序解决的问题从不手动操作","能用程式解決的問題從不手動操作","能用程式解決的問題從不手動操作","Never does manually what code can solve","Tidak melakukan manual jika bisa diselesaikan dengan program","Tidak buat secara manual jika boleh diselesaikan dengan program","Nunca hace manualmente lo que puede resolver con código","프로그램으로 해결할 수 있으면 손으로 하지 않음","Non fa a mano ciò che il codice può risolvere","プログラムで解決できることは手作業しない","Nunca faz manualmente o que código resolve","Не делает вручную то, что решает программа","สิ่งที่แก้ด้วยโปรแกรมได้จะไม่ทำมือ","Không làm thủ công việc có thể giải quyết bằng chương trình","لا يفعل يدويا ما يمكن للبرنامج حله","Kodun çözebileceği şeyi elle yapmaz","Was Code lösen kann, wird nicht manuell erledigt","Ne fait jamais à la main ce que le code peut résoudre"
"欢迎在各平台搜索关注我：“Geek_Lii”","歡迎在各平台搜尋關注我：「Geek_Lii」","歡迎在各平台搜尋關注我：「Geek_Lii」","Search and follow me on platforms: ""Geek_Lii""","Cari dan ikuti saya di berbagai platform: ""Geek_Lii""","Cari dan ikuti saya di platform: ""Geek_Lii""","Búscame y sígueme en plataformas: ""Geek_Lii""","여러 플랫폼에서 ""Geek_Lii""를 검색해 팔로우하세요","Cercami e seguimi sulle piattaforme: ""Geek_Lii""","各プラットフォームで「Geek_Lii」を検索してフォローしてください","Pesquise e siga-me nas plataformas: ""Geek_Lii""","Ищите и подписывайтесь: ""Geek_Lii""","ค้นหาและติดตามฉันบนแพลตฟอร์มต่างๆ: ""Geek_Lii""","Tìm và theo dõi tôi trên các nền tảng: ""Geek_Lii""","ابحث عني وتابعني على المنصات: ""Geek_Lii""","Platformlarda beni arayıp takip edin: ""Geek_Lii""","Suche und folge mir auf Plattformen: ""Geek_Lii""","Recherchez-moi et suivez-moi : ""Geek_Lii"""
